No,Nama User,Nama Produk,Varian Produk,Link Produk,Rating,Tanggal,Ulasan
22,Luthfi,ORICO Card Reader USB3.0 TF / SD - CRS21,Varian: Putih,https://www.tokopedia.com/orico/orico-card-reader-usb3-0-tf-sd-crs21,5,2025-04-18,Barang diterima dengan dan berfungsi sangat baik
23,h***n,"ORICO SATA 2.5"" SSD 128GB/256GB/512GB/1TB/2TB/4TB - Y20 Series",Varian: 256GB,https://www.tokopedia.com/orico/orico-sata-2-5-ssd-128gb-256gb-512gb-1tb-2tb-4tb-y20-series,5,2025-04-18,respon cepat barang bagus
24,J***s,Null,Null,https://www.tokopedia.com/orico/orico-mps3025-5mm-mouse-pad-rubber,5,2025-04-18,"Mantap, 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍"
25,Naufal,"ORICO M.2 NVMe SSD Enclosure with Silicone Protective Case USB-C up to 10 Gbps, 2-in-1 Cable Portable Hanging Rope - AXM2-G2",Varian: AXM2-G2-V1,https://www.tokopedia.com/orico/orico-m-2-nvme-ssd-enclosure-with-silicone-protective-case-usb-c-up-to-10-gbps-2-in-1-cable-portable-hanging-rope-axm2-g2,5,2025-04-18,"Mantap pengirimannya terbilang cukup cepat, ganyampe 2 hari dah sampe. Desainnya elegan, berfungsi dengan baik Alhamdulillah, semoga bisa awet 🙏🏻"
26,S***i,ORICO 2139C3 2.5 inch Type-C Transparent Hard Drive Enclosure,Varian: 2139C3,https://www.tokopedia.com/orico/orico-2139c3-2-5-inch-type-c-transparent-hard-drive-enclosure,5,2025-04-18,"pembelian kedua, sayang udah ga dapet diskon terima kasih seluler dan bang kurir"
27,R***o,Null,Null,https://www.tokopedia.com/orico/orico-hdd-ssd-enclosure-2-5-inch-usb-3-0-2020u3-v1,5,2025-04-18,"Barang berkualitas, sudah beberapa kali beli enclosure ditoko ini"
28,U***l,ORICO Mini 3 Port USB HUB Aluminium USB 3.0 2.0 - MINI-U32L,Varian: Abu-abu,https://www.tokopedia.com/orico/orico-mini-3-port-usb-hub-aluminium-usb-3-0-2-0-mini-u32l,5,2025-04-17,"Produk bagus, compact, build quality bagus dan berfungsi dengan baik."
29,Adhimas,ORICO Laptop Stand - PFB-A23,Varian: Putih,https://www.tokopedia.com/orico/orico-laptop-stand-pfb-a23,5,2025-04-17,bisa digunakan dan tidak ada tanda-tanda kerusakan
30,Narayana,Null,Null,https://www.tokopedia.com/orico/orico-msata-to-usb-3-2-gen1-transparent-external-ssd-enclosure-tc10-ms,5,2025-04-17,"Barang bagus sesuai deskripsi, dan dikirim dg aman"
31,Taufiq,"ORICO M.2 NVMe & M.2 NGFF/M.2 SATA SSD Enclosure with Silicone Protective Case USB-C up to 5/6/10 Gbps, 2-in-1 Cable Portable Hanging Rope - AXM2 series",Varian: AXM2-G2-V1,https://www.tokopedia.com/orico/orico-m-2-nvme-m-2-ngff-m-2-sata-ssd-enclosure-with-silicone-protective-case-usb-c-up-to-5-6-10-gbps-2-in-1-cable-portable-hanging-rope-axm2-series,5,2025-04-17,"berfungsi dengan baik, bongkar pasangnya mudah"
